P,count,time
8,1,0.006511
8,2,0.007035
8,4,0.007355
8,8,0.006214
8,16,0.005708
8,32,0.007344
8,64,0.006726
8,128,0.006442
8,256,0.005269
8,512,0.007916
8,1024,0.007157
8,2048,0.007013
8,4096,0.007599
8,8192,0.007409
8,16384,0.006054
8,32768,0.006363
8,65536,0.007822
8,131072,0.010833
8,262144,0.007762
8,524288,0.025913
8,1048576,0.028617
8,2097152,0.031658
8,4194304,0.038162
