P,count,time
64,1,0.004449
64,2,0.004092
64,4,0.004428
64,8,0.004568
64,16,0.004475
64,32,0.004746
64,64,0.005601
64,128,0.005872
64,256,0.006049
64,512,0.005479
64,1024,0.005928
64,2048,0.006133
64,4096,0.006171
64,8192,0.006617
64,16384,0.007153
64,32768,0.008396
64,65536,0.083988
64,131072,0.079764
64,262144,0.086573
64,524288,0.100460
64,1048576,0.125010
64,2097152,0.182657
64,4194304,0.273536
