P,count,time
2,1,0.000019
2,2,0.000019
2,4,0.000019
2,8,0.000019
2,16,0.000020
2,32,0.000022
2,64,0.000021
2,128,0.001043
2,256,0.001250
2,512,0.001282
2,1024,0.000026
2,2048,0.001069
2,4096,0.001108
2,8192,0.000031
2,16384,0.000359
2,32768,0.000642
2,65536,0.000688
2,131072,0.001658
2,262144,0.002005
2,524288,0.002430
2,1048576,0.002551
2,2097152,0.003661
2,4194304,0.006189
