Processes,Size,Latency
2,2,0.12
2,4,0.11
2,8,0.11
2,16,0.11
2,32,0.11
2,64,0.12
2,128,0.16
2,256,0.17
2,512,0.17
2,1024,0.20
2,2048,0.26
2,4096,0.42
2,8192,0.75
2,16384,1.07
2,32768,1.80
2,65536,3.36
2,131072,6.26
2,262144,14.98
4,2,0.13
4,4,0.13
4,8,0.12
4,16,0.12
4,32,0.13
4,64,0.14
4,128,0.20
4,256,0.22
4,512,0.27
4,1024,0.32
4,2048,0.52
4,4096,1.01
4,8192,1.42
4,16384,1.92
4,32768,3.21
4,65536,6.05
4,131072,11.52
4,262144,35.31
8,2,0.66
8,4,0.67
8,8,0.69
8,16,0.66
8,32,0.82
8,64,0.84
8,128,1.16
8,256,1.36
8,512,1.36
8,1024,1.59
8,2048,2.69
8,4096,4.58
8,8192,8.24
8,16384,13.49
8,32768,24.62
8,65536,48.56
8,131072,95.71
8,262144,73.87
16,2,1.24
16,4,1.20
16,8,1.15
16,16,1.21
16,32,1.57
16,64,1.57
16,128,1.98
16,256,2.51
16,512,3.15
16,1024,3.60
16,2048,6.23
16,4096,10.32
16,8192,18.24
16,16384,36.59
16,32768,73.57
16,65536,137.10
16,131072,273.33
16,262144,161.35
32,2,2.33
32,4,2.30
32,8,2.36
32,16,2.40
32,32,2.63
32,64,2.70
32,128,3.80
32,256,5.22
32,512,6.55
32,1024,7.50
32,2048,13.22
32,4096,23.73
32,8192,42.39
32,16384,73.50
32,32768,146.05
32,65536,297.75
32,131072,597.85
32,262144,311.12
64,2,5.44
64,4,5.47
64,8,5.44
64,16,5.49
64,32,7.93
64,64,7.15
64,128,12.84
64,256,13.59
64,512,16.15
64,1024,17.13
64,2048,30.51
64,4096,48.93
64,8192,75.91
64,16384,208.44
64,32768,287.32
64,65536,591.47
64,131072,1201.31
64,262144,680.39
128,2,4.01
128,4,4.06
128,8,4.11
128,16,4.11
128,32,9.34
128,64,9.35
128,128,17.34
128,256,20.23
128,512,23.23
128,1024,25.46
128,2048,42.37
128,4096,70.78
128,8192,112.47
128,16384,234.80
128,32768,568.41
128,65536,830.22
128,131072,1785.39
128,262144,12965.46
