Processes,Size,Latency
2,2,0.11
2,4,0.11
2,8,0.11
2,16,0.12
2,32,0.12
2,64,0.12
2,128,0.16
2,256,0.17
2,512,0.17
2,1024,0.20
2,2048,0.27
2,4096,0.45
2,8192,0.73
2,16384,1.07
2,32768,1.86
2,65536,3.37
2,131072,6.34
2,262144,14.80
4,2,0.15
4,4,0.15
4,8,0.16
4,16,0.15
4,32,0.16
4,64,0.22
4,128,0.26
4,256,0.28
4,512,0.32
4,1024,0.45
4,2048,0.73
4,4096,1.04
4,8192,1.54
4,16384,2.39
4,32768,4.27
4,65536,8.06
4,131072,35.51
4,262144,747.09
8,2,0.59
8,4,0.57
8,8,0.64
8,16,0.64
8,32,0.70
8,64,0.94
8,128,1.10
8,256,1.28
8,512,1.74
8,1024,2.55
8,2048,4.39
8,4096,8.16
8,8192,14.26
8,16384,26.81
8,32768,52.19
8,65536,111.56
8,131072,892.57
8,262144,2059.71
16,2,0.90
16,4,0.94
16,8,1.02
16,16,1.18
16,32,1.44
16,64,1.67
16,128,1.92
16,256,2.40
16,512,3.49
16,1024,6.30
16,2048,11.12
16,4096,20.69
16,8192,39.58
16,16384,77.82
16,32768,77.44
16,65536,166.39
16,131072,359.26
16,262144,734.68
32,2,1.30
32,4,1.36
32,8,1.55
32,16,1.88
32,32,2.21
32,64,2.54
32,128,3.11
32,256,4.40
32,512,7.45
32,1024,13.46
32,2048,24.78
32,4096,47.42
32,8192,92.56
32,16384,94.87
32,32768,218.60
32,65536,527.46
32,131072,1089.65
32,262144,2151.69
64,2,1.50
64,4,1.64
64,8,2.12
64,16,2.47
64,32,2.84
64,64,3.51
64,128,5.93
64,256,10.64
64,512,19.40
64,1024,36.43
64,2048,70.32
64,4096,138.74
64,8192,127.00
64,16384,248.11
64,32768,610.19
64,65536,1372.69
64,131072,2736.37
64,262144,4667.78
128,2,2.56
128,4,3.10
128,8,3.54
128,16,3.90
128,32,4.68
128,64,5.79
128,128,7.99
128,256,13.11
128,512,22.59
128,1024,42.71
128,2048,80.73
128,4096,160.11
128,8192,445.52
128,16384,963.16
128,32768,1709.38
128,65536,3392.99
128,131072,6030.88
128,262144,11007.68
