Processes,Size,Latency
2,2,0.11
2,4,0.10
2,8,0.11
2,16,0.10
2,32,0.11
2,64,0.12
2,128,0.15
2,256,0.16
2,512,0.17
2,1024,0.20
2,2048,0.26
2,4096,0.42
2,8192,0.72
2,16384,1.07
2,32768,1.81
2,65536,3.37
2,131072,8.78
2,262144,17.46
4,2,0.16
4,4,0.15
4,8,0.15
4,16,0.17
4,32,0.16
4,64,0.21
4,128,0.26
4,256,0.29
4,512,0.31
4,1024,0.46
4,2048,0.55
4,4096,1.04
4,8192,1.42
4,16384,1.90
4,32768,8.97
4,65536,11.75
4,131072,18.71
4,262144,41.05
8,2,0.57
8,4,0.56
8,8,0.63
8,16,0.67
8,32,0.75
8,64,0.95
8,128,1.12
8,256,1.29
8,512,1.70
8,1024,2.61
8,2048,4.39
8,4096,8.15
8,8192,14.22
8,16384,14.79
8,32768,20.15
8,65536,34.11
8,131072,51.12
8,262144,90.53
16,2,0.90
16,4,0.91
16,8,1.03
16,16,1.18
16,32,1.44
16,64,1.67
16,128,1.90
16,256,2.37
16,512,3.46
16,1024,6.26
16,2048,11.14
16,4096,20.67
16,8192,39.47
16,16384,36.05
16,32768,21.28
16,65536,24.76
16,131072,81.98
16,262144,97.08
32,2,1.35
32,4,1.36
32,8,1.53
32,16,1.87
32,32,2.22
32,64,2.53
32,128,3.12
32,256,4.52
32,512,6.20
32,1024,7.71
32,2048,13.31
32,4096,23.44
32,8192,92.20
32,16384,16.90
32,32768,46.42
32,65536,51.49
32,131072,78.27
32,262144,108.39
64,2,1.48
64,4,1.67
64,8,2.09
64,16,2.55
64,32,2.81
64,64,3.50
64,128,5.91
64,256,10.56
64,512,16.32
64,1024,16.55
64,2048,30.18
64,4096,48.51
64,8192,75.64
64,16384,57.53
64,32768,99.50
64,65536,128.87
64,131072,132.33
64,262144,141.69
128,2,2.54
128,4,3.08
128,8,3.51
128,16,3.93
128,32,4.61
128,64,5.78
128,128,7.99
128,256,13.10
128,512,22.69
128,1024,25.22
128,2048,45.82
128,4096,70.19
128,8192,111.75
128,16384,897.10
128,32768,1768.85
128,65536,3128.24
128,131072,5943.10
128,262144,11329.21
