Processes,Size,Latency
2,2,0.11
2,4,0.11
2,8,0.12
2,16,0.11
2,32,0.12
2,64,0.11
2,128,0.15
2,256,0.16
2,512,0.18
2,1024,0.18
2,2048,0.24
2,4096,0.41
2,8192,0.59
2,16384,3.57
2,32768,3.03
2,65536,3.56
2,131072,5.33
2,262144,9.65
4,2,0.15
4,4,0.15
4,8,0.15
4,16,0.15
4,32,0.16
4,64,0.16
4,128,0.22
4,256,0.24
4,512,0.27
4,1024,0.32
4,2048,0.49
4,4096,0.80
4,8192,1.18
4,16384,6.12
4,32768,8.25
4,65536,9.79
4,131072,15.60
4,262144,33.47
8,2,0.53
8,4,0.57
8,8,0.68
8,16,0.68
8,32,0.76
8,64,0.60
8,128,0.89
8,256,1.04
8,512,1.10
8,1024,1.35
8,2048,1.76
8,4096,3.13
8,8192,5.64
8,16384,15.27
8,32768,19.18
8,65536,30.36
8,131072,46.17
8,262144,82.56
16,2,0.81
16,4,0.78
16,8,0.75
16,16,0.82
16,32,0.97
16,64,1.02
16,128,1.51
16,256,1.71
16,512,1.78
16,1024,1.94
16,2048,2.81
16,4096,4.42
16,8192,8.47
16,16384,22.49
16,32768,42.62
16,65536,81.46
16,131072,162.48
16,262144,321.41
32,2,1.17
32,4,1.21
32,8,1.19
32,16,1.20
32,32,1.47
32,64,1.47
32,128,1.99
32,256,2.29
32,512,2.41
32,1024,2.81
32,2048,4.15
32,4096,7.08
32,8192,12.49
32,16384,16.80
32,32768,31.51
32,65536,60.87
32,131072,121.97
32,262144,247.82
64,2,1.11
64,4,1.11
64,8,1.12
64,16,1.10
64,32,2.22
64,64,2.04
64,128,2.58
64,256,2.84
64,512,3.15
64,1024,3.67
64,2048,6.03
64,4096,10.27
64,8192,18.65
64,16384,25.40
64,32768,49.72
64,65536,101.11
64,131072,201.96
64,262144,402.01
128,2,2.01
128,4,2.09
128,8,2.07
128,16,2.09
128,32,3.12
128,64,3.11
128,128,3.92
128,256,4.32
128,512,4.79
128,1024,9.28
128,2048,11.50
128,4096,15.86
128,8192,24.63
128,16384,33.12
128,32768,60.80
128,65536,111.27
128,131072,183.46
128,262144,338.00
