Processes,Size,Latency
2,2,0.11
2,4,0.11
2,8,0.12
2,16,0.11
2,32,0.11
2,64,0.11
2,128,0.14
2,256,0.16
2,512,0.18
2,1024,0.19
2,2048,0.26
2,4096,0.43
2,8192,0.63
2,16384,2.92
2,32768,3.26
2,65536,3.58
2,131072,5.30
2,262144,8.96
4,2,0.20
4,4,0.21
4,8,0.20
4,16,0.20
4,32,0.21
4,64,0.21
4,128,0.29
4,256,0.34
4,512,0.38
4,1024,0.42
4,2048,0.59
4,4096,0.93
4,8192,1.18
4,16384,6.75
4,32768,11.87
4,65536,14.94
4,131072,26.35
4,262144,49.56
8,2,1.03
8,4,1.04
8,8,1.03
8,16,1.03
8,32,1.18
8,64,1.15
8,128,1.33
8,256,1.53
8,512,1.55
8,1024,1.77
8,2048,2.29
8,4096,3.57
8,8192,5.91
8,16384,19.72
8,32768,32.87
8,65536,58.78
8,131072,91.13
8,262144,170.58
16,2,2.16
16,4,2.16
16,8,2.15
16,16,2.17
16,32,2.73
16,64,2.74
16,128,2.86
16,256,3.19
16,512,3.26
16,1024,3.73
16,2048,4.74
16,4096,6.56
16,8192,10.54
16,16384,41.78
16,32768,69.39
16,65536,124.33
16,131072,234.40
16,262144,450.72
32,2,4.46
32,4,4.46
32,8,4.47
32,16,4.45
32,32,5.30
32,64,5.28
32,128,5.89
32,256,6.77
32,512,6.79
32,1024,7.88
32,2048,10.26
32,4096,15.19
32,8192,23.62
32,16384,84.88
32,32768,141.42
32,65536,262.11
32,131072,479.49
32,262144,919.53
64,2,8.79
64,4,8.81
64,8,8.80
64,16,8.85
64,32,11.86
64,64,11.64
64,128,11.14
64,256,13.07
64,512,13.11
64,1024,15.39
64,2048,20.28
64,4096,28.16
64,8192,45.05
64,16384,171.35
64,32768,344.58
64,65536,538.05
64,131072,1028.17
64,262144,1878.88
128,2,10.19
128,4,10.19
128,8,10.17
128,16,10.18
128,32,13.28
128,64,16.96
128,128,13.29
128,256,14.88
128,512,15.41
128,1024,22.02
128,2048,27.12
128,4096,35.62
128,8192,52.31
128,16384,188.10
128,32768,303.96
128,65536,534.27
128,131072,580.36
128,262144,691.48
