Processes,Size,Latency
2,2,0.11
2,4,0.11
2,8,0.11
2,16,0.11
2,32,0.12
2,64,0.11
2,128,0.14
2,256,0.16
2,512,0.18
2,1024,0.18
2,2048,0.24
2,4096,0.41
2,8192,0.58
2,16384,3.51
2,32768,3.05
2,65536,3.59
2,131072,5.28
2,262144,9.62
4,2,0.14
4,4,0.14
4,8,0.14
4,16,0.15
4,32,0.16
4,64,0.17
4,128,0.22
4,256,0.24
4,512,0.27
4,1024,0.33
4,2048,0.49
4,4096,0.79
4,8192,1.20
4,16384,6.14
4,32768,8.21
4,65536,9.82
4,131072,15.37
4,262144,35.23
8,2,0.53
8,4,0.54
8,8,0.69
8,16,0.69
8,32,0.79
8,64,0.60
8,128,0.90
8,256,1.03
8,512,1.09
8,1024,1.31
8,2048,1.84
8,4096,3.14
8,8192,5.51
8,16384,14.98
8,32768,19.32
8,65536,30.42
8,131072,45.69
8,262144,83.60
16,2,0.81
16,4,0.77
16,8,0.77
16,16,0.77
16,32,1.00
16,64,1.02
16,128,1.47
16,256,1.74
16,512,1.77
16,1024,1.96
16,2048,3.00
16,4096,4.35
16,8192,8.42
16,16384,22.18
16,32768,42.47
16,65536,82.74
16,131072,162.54
16,262144,320.82
32,2,1.21
32,4,1.18
32,8,1.18
32,16,1.17
32,32,1.50
32,64,1.46
32,128,1.98
32,256,2.29
32,512,2.40
32,1024,2.79
32,2048,4.21
32,4096,6.96
32,8192,12.61
32,16384,16.69
32,32768,31.27
32,65536,59.66
32,131072,120.67
32,262144,247.16
64,2,1.15
64,4,1.22
64,8,1.17
64,16,1.08
64,32,2.08
64,64,2.05
64,128,2.75
64,256,2.98
64,512,3.34
64,1024,3.74
64,2048,6.05
64,4096,10.15
64,8192,18.67
64,16384,25.15
64,32768,40.47
64,65536,99.20
64,131072,196.21
64,262144,401.87
128,2,2.02
128,4,2.04
128,8,2.05
128,16,2.05
128,32,2.94
128,64,3.21
128,128,4.00
128,256,4.36
128,512,4.83
128,1024,9.29
128,2048,11.58
128,4096,15.84
128,8192,25.49
128,16384,32.75
128,32768,58.13
128,65536,112.14
128,131072,184.34
128,262144,334.07
