P,count,time
8,1,0.005950
8,2,0.007271
8,4,0.005497
8,8,0.005584
8,16,0.008345
8,32,0.004564
8,64,0.005887
8,128,0.006378
8,256,0.005621
8,512,0.006373
8,1024,0.007707
8,2048,0.005232
8,4096,0.007177
8,8192,0.008233
8,16384,0.005576
8,32768,0.006763
8,65536,0.012964
8,131072,0.015147
8,262144,0.019597
8,524288,0.017337
8,1048576,0.023556
8,2097152,0.035299
8,4194304,0.058986
