P,count,time
8,1,0.013387
8,2,0.015576
8,4,0.018010
8,8,0.016281
8,16,0.015883
8,32,0.014752
8,64,0.014843
8,128,0.014768
8,256,0.013542
8,512,0.016392
8,1024,0.015982
8,2048,0.015307
8,4096,0.016802
8,8192,0.021996
8,16384,0.014542
8,32768,0.014620
8,65536,0.023297
8,131072,0.026803
8,262144,0.025363
8,524288,0.028831
8,1048576,0.035690
8,2097152,0.045311
8,4194304,0.049351
