Threads,Size,ComputeTime,Speedup,Efficiency
1,1000,0.147,1.0,100.0
2,1414,0.147,1.00000000000000000000,50.00000000000000000000
4,2000,0.148,.99324324324324324324,24.83108108108108108100
8,2828,0.170,.86470588235294117647,10.80882352941176470500
16,4000,0.304,.48355263157894736842,3.02220394736842105200
32,5657,0.795,.18490566037735849056,.57783018867924528300
64,8000,19.624,.00749082755809213208,.01170441805951895600
128,11314,3.654,.04022988505747126436,.03142959770114942500
