Threads,Size,ComputeTime,Speedup,Efficiency
1,10000,14.615,1.0,100.0
2,10000,7.293,2.00397641574112162347,100.19882078705608117300
4,10000,3.687,3.96392731217792243016,99.09818280444806075400
8,10000,2.158,6.77247451343836886005,84.65593141797961075000
16,10000,1.877,7.78636121470431539690,48.66475759190197123000
32,10000,21.220,.68873704052780395852,2.15230325164938737000
64,10000,2.682,5.44929157345264727815,8.51451808351976137200
128,10000,3.414,4.28090216754540128881,3.34445481839484475600
