P,count,time
64,8192,0.004407
64,16384,0.005521
64,32768,0.008158
64,65536,0.012911
64,131072,0.017513
64,262144,0.026338
64,524288,0.041376
64,1048576,0.071804
64,2097152,0.131530
64,4194304,0.245925
64,1,
64,2,0.000789
64,4,0.000751
64,8,0.000566
64,16,0.000560
64,32,0.001488
64,64,0.001507
64,128,0.001466
64,256,0.001482
64,512,0.003099
64,1024,0.002778
64,2048,0.002866
64,4096,0.003212
64,8192,0.003994
64,16384,0.005550
64,32768,0.008552
64,65536,0.013383
64,131072,0.017806
64,262144,0.026030
64,524288,0.040533
64,1048576,0.070486
64,2097152,0.130665
64,4194304,0.244876
