P,count,time
128,1,0.010283
128,2,0.009066
128,4,0.009454
128,8,0.010927
128,16,0.009429
128,32,0.010985
128,64,0.011355
128,128,0.012766
128,256,0.011789
128,512,0.011990
128,1024,0.011420
128,2048,0.011996
128,4096,0.011347
128,8192,0.013351
128,16384,0.015004
128,32768,0.017358
128,65536,0.162233
128,131072,0.150387
128,262144,0.169693
128,524288,0.196618
128,1048576,0.255371
128,2097152,0.366544
128,4194304,0.643063
